id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
amazon:amazon:10529525,Amazon,"Software Development Engineer Intern, ROBOTICS - 2027",Summer 2027,False,,Internship,,Hardware,"North Reading, Massachusetts, USA",unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-04T00:00:00Z,date_only,2026-09-04T04:41:06Z,https://www.amazon.jobs/en/jobs/10529525/software-development-engineer-intern-robotics-2027
greenhouse:garnerhealth:6164698004,Garner Health,Software Engineering Intern,Not stated,True,,Internship,,Software,"New York City, New York",no-sponsorship,,,Python; TypeScript; JavaScript; React; Node.js; AWS; Kubernetes; Docker,2026-09-04T17:39:04-04:00,exact,2026-09-04T21:58:39Z,https://job-boards.greenhouse.io/garnerhealth/jobs/6164698004
greenhouse:scaleai:4730845005,Scale AI,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"San Francisco, CA",unknown,26,,Python; TypeScript; LLMs; React; MongoDB,2026-09-04T12:00:19-04:00,exact,2026-09-04T17:22:30Z,https://job-boards.greenhouse.io/scaleai/jobs/4730845005
greenhouse:schonfeld:8171692,Schonfeld,2027 Data Science Intern,Summer 2027,False,,Internship,,Data & ML/AI,"New York, New York, United States",unknown,,,Python; SQL; Docker; Kafka; Airflow,2026-09-04T12:42:57-04:00,exact,2026-09-04T17:22:30Z,https://job-boards.greenhouse.io/schonfeld/jobs/8171692
greenhouse:schonfeld:8171696,Schonfeld,2027 Cybersecurity Operations Intern,Summer 2027,False,,Internship,,Security,"New York, New York, United States",unknown,,,,2026-09-04T12:42:38-04:00,exact,2026-09-04T17:22:30Z,https://job-boards.greenhouse.io/schonfeld/jobs/8171696
greenhouse:schonfeld:8180089,Schonfeld,2027 Software Engineering Intern,Summer 2027,False,,Internship,,Software,"New York, New York, United States",unknown,,,Python; Java; C++; Git,2026-09-04T12:41:36-04:00,exact,2026-09-04T17:22:30Z,https://job-boards.greenhouse.io/schonfeld/jobs/8180089
oracle:edbz.fa.us2.oraclecloud.com:25017705,Texas Instruments,Systems Engineering Intern - Machine Learning Expert,Not stated,True,,Internship,,Data & ML/AI,"Dallas, TX, United States",unknown,234,,Python; C++; PyTorch; LLMs,2026-09-04,date_only,2026-09-04T17:22:30Z,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25017705
oracle:fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com:39978,Nokia,AI-Agent Development Co-op,Not stated,True,,Co-op,,Data & ML/AI,United States,unknown,,,Python; LLMs; Git,2026-09-04,date_only,2026-09-04T17:22:30Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/39978
oracle:hdhl.fa.us6.oraclecloud.com:1007589,Stantec,Digital Practice Co-op/Intern - Infrastructure (Spring/Summer 2027),Summer 2027,False,,Internship / Co-op,,Software,"Washington, DC, United States",unknown,,,,2026-09-04,date_only,2026-09-04T13:40:47Z,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1007589
smartrecruiters:Loram1:3743990015082845,Loram,Machine Learning / Artificial Intelligence (AI) Intern,Not stated,True,,Internship,,Data & ML/AI,"Hamel, MN, United States",unknown,,,Python; C#; SQL; PyTorch; Pandas; Computer Vision; Docker; Linux,2026-09-04T17:03:37.827Z,exact,2026-09-04T17:22:30Z,https://jobs.smartrecruiters.com/Loram1/3743990015082845
workable:enfos-inc:CA15908E0A,ENFOS,Software Engineer Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Durham, North Carolina, United States; Chicago, Illinois, United States",unknown,,,Python; Java; TypeScript; JavaScript; SQL; LLMs; React; HTML/CSS,2026-09-04T00:00:00.000Z,date_only,2026-09-04T17:22:30Z,https://apply.workable.com/enfos-inc/j/CA15908E0A/
workday:caci:/job/Ypsilanti-MI-US/Software-Engineer-Intern---Summer-2027_331648,CACI,Software Engineer Intern - Summer 2027,Summer 2027,False,,Internship,,Software,"Ypsilanti, MI, US",citizens-only,,,Python; Java; C++; Rust; CUDA; AWS; Linux,2026-09-04T00:00:00Z,date_only,2026-09-04T21:58:39Z,https://caci.wd1.myworkdayjobs.com/external/job/Ypsilanti-MI-US/Software-Engineer-Intern---Summer-2027_331648
workday:cibc:/job/Chicago-IL/XMLNAME-2027-Summer-Intern---Software-Engineering_2618322-1,CIBC,2027 Summer Intern - Software Engineering,Summer 2027,False,,Internship,,Software,"Chicago, IL",no-sponsorship,,$36–$40/hr,Python; SQL,2026-09-04T00:00:00Z,date_only,2026-09-04T19:49:19Z,https://cibc.wd3.myworkdayjobs.com/search/job/Chicago-IL/XMLNAME-2027-Summer-Intern---Software-Engineering_2618322-1
workday:cna:/job/Chicago-IL-USA/Technology-Internship-Program--AI-Engineering-_R-8126,CNA Insurance,Technology Internship Program (AI Engineering),Not stated,True,,Internship,,Data & ML/AI,"Chicago, IL, USA",no-sponsorship,,$35k–$65k/yr,Python; SQL; Terraform,2026-09-04T00:00:00Z,date_only,2026-09-05T08:51:03Z,https://cna.wd1.myworkdayjobs.com/CNA_Careers/job/Chicago-IL-USA/Technology-Internship-Program--AI-Engineering-_R-8126
workday:cna:/job/Chicago-IL-USA/Technology-Internship-Program--AI-Strategy-_R-8127-1,CNA Insurance,Technology Internship Program (AI Strategy),Not stated,True,,Internship,,Data & ML/AI,"Chicago, IL, USA",no-sponsorship,,$35k–$65k/yr,LLMs,2026-09-04T00:00:00Z,date_only,2026-09-05T08:51:03Z,https://cna.wd1.myworkdayjobs.com/CNA_Careers/job/Chicago-IL-USA/Technology-Internship-Program--AI-Strategy-_R-8127-1
workday:cna:/job/Chicago-IL-USA/Technology-Internship-Program--Cybersecurity-_R-8130-1,CNA Insurance,Technology Internship Program (Cybersecurity),Not stated,True,,Internship,,Security,"Chicago, IL, USA",no-sponsorship,,$35k–$65k/yr,,2026-09-04T00:00:00Z,date_only,2026-09-05T08:51:03Z,https://cna.wd1.myworkdayjobs.com/CNA_Careers/job/Chicago-IL-USA/Technology-Internship-Program--Cybersecurity-_R-8130-1
workday:cna:/job/Chicago-IL-USA/Technology-Internship-Program--Software-Engineering-_R-8107,CNA Insurance,Technology Internship Program (Software Engineering),Not stated,True,,Internship,,Software,"Chicago, IL, USA",no-sponsorship,,$35k–$65k/yr,Java; SQL,2026-09-04T00:00:00Z,date_only,2026-09-04T21:58:39Z,https://cna.wd1.myworkdayjobs.com/CNA_Careers/job/Chicago-IL-USA/Technology-Internship-Program--Software-Engineering-_R-8107
workday:hyvee:/job/Corporate-Office-Westown-Pkwy-West-Des-Moines-IA/Cyber-Security-Intern--Summer-2027_R250153,Hy-Vee,Cyber Security Intern- Summer 2027,Summer 2027,False,,Internship,,Security,"Corporate Office, Westown Pkwy., West Des Moines, IA",unknown,2,,,2026-09-04T00:00:00Z,date_only,2026-09-04T21:58:39Z,https://hyvee.wd1.myworkdayjobs.com/HyVeeCareers/job/Corporate-Office-Westown-Pkwy-West-Des-Moines-IA/Cyber-Security-Intern--Summer-2027_R250153
workday:hyvee:/job/Corporate-Office-Westown-Pkwy-West-Des-Moines-IA/Digital-Software-Engineering-Intern---Summer-2027_R250133,Hy-Vee,Digital Software Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Software,"Corporate Office, Westown Pkwy., West Des Moines, IA",unknown,2,,SQL,2026-09-04T00:00:00Z,date_only,2026-09-04T21:58:39Z,https://hyvee.wd1.myworkdayjobs.com/HyVeeCareers/job/Corporate-Office-Westown-Pkwy-West-Des-Moines-IA/Digital-Software-Engineering-Intern---Summer-2027_R250133
workday:ingredion:/job/Westchester-IL/AI---Data-Scientist-Intern_Req-40220,Ingredion,AI & Data Scientist Intern,Not stated,True,,Internship,,Data & ML/AI,"Westchester, IL",unknown,4,$20–$25/hr,SQL; PyTorch; TensorFlow; scikit-learn; AWS; GCP; Azure; Hadoop,2026-09-04T00:00:00Z,date_only,2026-09-04T19:49:19Z,https://ingredion.wd1.myworkdayjobs.com/IngredionCareers/job/Westchester-IL/AI---Data-Scientist-Intern_Req-40220
workday:jci:/job/Salem-Virginia-United-States-of-America/Software-Controls-Engineering-Grad-Intern_WD30278205-1,Johnson Controls,Software/Controls Engineering Grad Intern,Not stated,True,,Internship,,Software,Salem-Virginia-United States of America,unknown,104,,C++,2026-09-04T00:00:00Z,date_only,2026-09-04T17:22:30Z,https://jci.wd5.myworkdayjobs.com/JCI/job/Salem-Virginia-United-States-of-America/Software-Controls-Engineering-Grad-Intern_WD30278205-1
workday:marvell:/job/Santa-Clara-CA/Firmware-Engineer-Intern--MS---Summer-2027_2604513,Marvell,"Firmware Engineer Intern, MS - Summer 2027",Summer 2027,False,,Internship,,Hardware,"Santa Clara, CA",unknown,,,Python; Bash; Linux; Git,2026-09-04T00:00:00Z,date_only,2026-09-04T21:58:39Z,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Santa-Clara-CA/Firmware-Engineer-Intern--MS---Summer-2027_2604513
workday:saabusa:/job/East-Syracuse-NY-Collamer/Software-Engineering-Co-Op--Spring---Summer-2027-_R-03240-1,Saab,Software Engineering Co-Op (Spring - Summer 2027),Summer 2027,False,,Co-op,,Software,"East Syracuse, NY (Collamer)",citizens-only,,$20.27–$22.3/hr,Java; JavaScript; SQL; HTML/CSS; Linux; Git,2026-09-04T00:00:00Z,date_only,2026-09-04T19:49:19Z,https://saabusa.wd1.myworkdayjobs.com/saab_careers/job/East-Syracuse-NY-Collamer/Software-Engineering-Co-Op--Spring---Summer-2027-_R-03240-1
workday:stryker:/job/Cary-Illinois/Customer-One-Intern--Data-Analyst----Cary--IL_R572734,Stryker,"Customer One Intern (Data Analyst) - Cary, IL",Not stated,True,,Internship,,Data & ML/AI,"Cary, Illinois",unknown,104,,,2026-09-04T00:00:00Z,date_only,2026-09-04T17:22:30Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Cary-Illinois/Customer-One-Intern--Data-Analyst----Cary--IL_R572734
ashby:skydio:ae4a6f7d-a240-4fa2-8c8e-04cc906e4ef9,Skydio,"Autonomy Engineer Intern, Computer Vision / Deep Learning, Summer 2027",Summer 2027,False,,Internship,,Data & ML/AI,"San Mateo, California, United States",unknown,26,$47/hr,Computer Vision; Python; C++; PyTorch,2026-09-03T23:28:02.086+00:00,exact,2026-09-04T00:18:32Z,https://jobs.ashbyhq.com/skydio/ae4a6f7d-a240-4fa2-8c8e-04cc906e4ef9
ashby:the-exploration-company:86270058-8eec-4692-b49d-97ce59fd54ac,The Exploration Company,Summer 2027 Internship (Software),Summer 2027,False,,Internship,,Software,California,citizens-only,,,,2026-09-03T19:50:53.474+00:00,exact,2026-09-03T21:59:17Z,https://jobs.ashbyhq.com/the-exploration-company/86270058-8eec-4692-b49d-97ce59fd54ac
greenhouse:axq:6181069004,AXQ Capital,Quantitative Research Intern (Summer 2027),Summer 2027,False,,Internship,,Quant,New York,unknown,5,,Python,2026-09-03T14:32:35-04:00,exact,2026-09-03T19:10:35Z,https://job-boards.greenhouse.io/axq/jobs/6181069004
greenhouse:idmeuniversityrecruiting:7980429003,ID.me,Summer Intern 2027 - Software Development Engineer Intern,Summer 2027,False,,Internship,,Software,"Mountain View, CA",unknown,,,Python; Java; JavaScript; Ruby; LLMs; AWS; GCP; Azure,2026-09-03T12:51:50-04:00,exact,2026-09-04T17:22:30Z,https://job-boards.greenhouse.io/idmeuniversityrecruiting/jobs/7980429003
greenhouse:waymo:8174099,Waymo,"2027 Summer Intern, BS, SysEng Software Engineer",Summer 2027,False,,Internship,,Software,"Mountain View, California, USA",unknown,284,,Python; C++,2026-09-03T11:21:07-04:00,exact,2026-09-03T15:26:58Z,https://careers.withwaymo.com/jobs?gh_jid=8174099
greenhouse:waymo:8174504,Waymo,"2027 Summer Intern, MS, Software Engineering, Behavior Test",Summer 2027,False,,Internship,,Software,"San Francisco, California, USA",unknown,284,,Python; SQL,2026-09-03T16:44:52-04:00,exact,2026-09-03T21:59:17Z,https://careers.withwaymo.com/jobs?gh_jid=8174504
lever:hermeus:555263f6-c5ec-4489-ab07-1aea546b70e7,Hermeus,GNC & Flight Software Intern - Spring/Summer 2027,Summer 2027,False,,Internship,,Software,"Atlanta, GA",citizens-only,,25–33 USD/hr,Python; C++; TypeScript; JavaScript; MATLAB,2026-09-03T19:19:21Z,exact,2026-09-03T21:59:17Z,https://jobs.lever.co/hermeus/555263f6-c5ec-4489-ab07-1aea546b70e7
lever:hermeus:5b08e2df-c9db-4831-aece-67d89e744796,Hermeus,Software Engineering Intern (Command & Control) - Spring/Summer 2027,Summer 2027,False,,Internship,,Software,"Atlanta, GA",citizens-only,,25–33 USD/hr,C++; TypeScript; JavaScript; React; Angular,2026-09-03T02:07:59Z,exact,2026-09-03T06:03:26Z,https://jobs.lever.co/hermeus/5b08e2df-c9db-4831-aece-67d89e744796
smartrecruiters:Eurofins:744000147214369,Eurofins,AI & Automation Intern,Fall 2026,False,,Internship,,Data & ML/AI,"Barcelona, CT, International (ES)",unknown,,,Python; SQL,2026-09-03T10:31:16.848Z,exact,2026-09-03T11:24:20Z,https://jobs.smartrecruiters.com/Eurofins/744000147214369
smartrecruiters:InfiniteQuant:744000147161390,InfiniteQuant,Quantitative Researcher - Internship - Summer 2027,Summer 2027,False,,Internship,,Quant,"New York, NY, United States",unknown,,,Python; C++; Pandas,2026-09-03T07:09:16.166Z,exact,2026-09-03T11:24:20Z,https://jobs.smartrecruiters.com/InfiniteQuant/744000147161390
smartrecruiters:InfiniteQuant:744000147163879,InfiniteQuant,Quantitative Developer - Internship - Summer 2027,Summer 2027,False,,Internship,yes,Quant,"New York, New York, United States (Remote)",unknown,,,Python; C++,2026-09-03T07:07:53.041Z,exact,2026-09-03T11:24:20Z,https://jobs.smartrecruiters.com/InfiniteQuant/744000147163879
smartrecruiters:Skyward1:744000147320799,Skyward,Software Engineer - Intern,Summer 2027,False,,Internship,,Software,"Stevens Point, WI, United States",unknown,,,,2026-09-03T17:13:21.932Z,exact,2026-09-03T19:10:35Z,https://jobs.smartrecruiters.com/Skyward1/744000147320799
smartrecruiters:Winsupply1:3743990015046116,Winsupply,Data Analyst Intern,Not stated,True,,Internship,,Data & ML/AI,"Moraine, OH, United States",unknown,13,,,2026-09-03T14:02:33.319Z,exact,2026-09-03T15:26:58Z,https://jobs.smartrecruiters.com/Winsupply1/3743990015046116
